Date,Open,High,Low,Close
2004-08-19 14:30:00 +00:00,100,104.06,95.96,100.34
2004-08-20 14:30:00 +00:00,101.01,109.08,100.5,108.31
2004-08-23 14:30:00 +00:00,110.75,113.48,109.05,109.4
2004-08-24 14:30:00 +00:00,111.24,111.6,103.57,104.87
2004-08-25 14:30:00 +00:00,104.96,108,103.88,106
2004-08-26 14:30:00 +00:00,104.95,107.95,104.66,107.91
2004-08-27 14:30:00 +00:00,108.1,108.62,105.69,106.15
2004-08-30 14:30:00 +00:00,105.28,105.49,102.01,102.01
2004-08-31 14:30:00 +00:00,102.3,103.71,102.16,102.37
2004-09-01 14:30:00 +00:00,102.7,102.97,99.67,100.25
2004-09-02 14:30:00 +00:00,99.19,102.37,98.94,101.51
2004-09-03 14:30:00 +00:00,100.95,101.74,99.32,100.01
2004-09-07 14:30:00 +00:00,101.01,102,99.61,101.58
2004-09-08 14:30:00 +00:00,100.74,103.03,100.5,102.3
2004-09-09 14:30:00 +00:00,102.53,102.71,101,102.31
2004-09-10 14:30:00 +00:00,101.6,106.56,101.3,105.33
2004-09-13 14:30:00 +00:00,106.63,108.41,106.46,107.5
2004-09-14 14:30:00 +00:00,107.45,112,106.79,111.49
2004-09-15 14:30:00 +00:00,110.56,114.23,110.2,112
2004-09-16 14:30:00 +00:00,112.34,115.8,111.65,113.97
2004-09-17 14:30:00 +00:00,114.42,117.49,113.55,117.49
2004-09-20 14:30:00 +00:00,116.95,121.6,116.77,119.36
2004-09-21 14:30:00 +00:00,119.81,120.42,117.51,117.84
2004-09-22 14:30:00 +00:00,117.4,119.67,116.81,118.38
2004-09-23 14:30:00 +00:00,118.84,122.63,117.02,120.82
2004-09-24 14:30:00 +00:00,120.94,124.1,119.76,119.83
2004-09-27 14:30:00 +00:00,119.56,120.88,117.8,118.26
2004-09-28 14:30:00 +00:00,121.3,127.4,120.21,126.86
2004-09-29 14:30:00 +00:00,126.7,135.02,126.23,131.08
2004-09-30 14:30:00 +00:00,129.9,132.3,129,129.6
2004-10-01 14:30:00 +00:00,130.8,134.24,128.9,132.58
2004-10-04 14:30:00 +00:00,135.25,136.87,134.03,135.06
2004-10-05 14:30:00 +00:00,134.66,138.53,132.24,138.37
2004-10-06 14:30:00 +00:00,137.55,138.45,136,137.08
2004-10-07 14:30:00 +00:00,136.92,139.88,136.55,138.85
2004-10-08 14:30:00 +00:00,138.72,139.68,137.02,137.73
2004-10-11 14:30:00 +00:00,137,138.86,133.85,135.26
2004-10-12 14:30:00 +00:00,134.44,137.61,133.4,137.4
2004-10-13 14:30:00 +00:00,143.32,143.55,140.08,140.9
2004-10-14 14:30:00 +00:00,141.01,142.38,138.56,142
2004-10-15 14:30:00 +00:00,144.93,145.5,141.95,144.11
